mease
5,250,40,8.0,10.0,0.02,500,0.9658384842081101
6,250,40,8.0,10.0,0.02,500,0.9666594426406533
7,250,40,8.0,10.0,0.02,500,0.9682253670690933
8,250,40,8.0,10.0,0.02,500,0.9602718004857406
9,250,40,8.0,10.0,0.02,500,0.9276414107737115
10,250,40,8.0,10.0,0.02,500,0.9688855804776657
1,300,40,8.0,10.0,0.02,1000,0.9043060350794273
2,300,40,8.0,10.0,0.02,1000,0.8827824771192588
3,300,40,8.0,10.0,0.02,1000,0.882676149414745
4,300,40,8.0,10.0,0.02,1000,0.8884332950134982
5,300,40,8.0,10.0,0.02,1000,0.8821123499728692
6,300,40,8.0,10.0,0.02,1000,0.9032717780895487
7,300,40,8.0,10.0,0.02,1000,0.9025526064908883
8,300,40,8.0,10.0,0.02,1000,0.8870758395583243
9,300,40,8.0,10.0,0.02,1000,0.9077405020393379
10,300,40,8.0,10.0,0.02,1000,0.8682058150267832
1,300,40,8.0,10.0,0.02,5000,0.7887395418405944
2,300,40,8.0,10.0,0.02,5000,0.7659893481725992
3,300,40,8.0,10.0,0.02,5000,0.7842357317053477
4,300,40,8.0,10.0,0.02,5000,0.7702086092895059
5,300,40,8.0,10.0,0.02,5000,0.7584309862023306
6,300,40,8.0,10.0,0.02,5000,0.7810688657543174
7,300,40,8.0,10.0,0.02,5000,0.7756752665496307
8,300,40,8.0,10.0,0.02,5000,0.7851360131018523
9,300,40,8.0,10.0,0.02,5000,0.7789128880218805
10,300,40,8.0,10.0,0.02,5000,0.784725757900554
1,150,40,8.0,10.0,0.02,5000,0.7576927716860777
2,150,40,8.0,10.0,0.02,5000,0.7618352244849818
3,150,40,8.0,10.0,0.02,5000,0.7525149230002941
4,150,40,8.0,10.0,0.02,5000,0.7575484676663646
5,150,40,8.0,10.0,0.02,5000,0.7641654857637392
6,150,40,8.0,10.0,0.02,5000,0.7625297095226069
7,150,40,8.0,10.0,0.02,5000,0.7539472719184958
8,150,40,8.0,10.0,0.02,5000,0.7558577199345053
9,150,40,8.0,10.0,0.02,5000,0.7581187462170671
10,150,40,8.0,10.0,0.02,5000,0.7473072182378837
1,250,40,8.0,10.0,0.02,5000,0.7759501225289746
2,250,40,8.0,10.0,0.02,5000,0.7779303819189493
3,250,40,8.0,10.0,0.02,5000,0.7608032692711586
4,250,40,8.0,10.0,0.02,5000,0.764532893937905
5,250,40,8.0,10.0,0.02,5000,0.7741003679530479
6,250,40,8.0,10.0,0.02,5000,0.7766695944133429
7,250,40,8.0,10.0,0.02,5000,0.774907729773718
8,250,40,8.0,10.0,0.02,5000,0.766156607757905
9,250,40,8.0,10.0,0.02,5000,0.7699759135096063
10,250,40,8.0,10.0,0.02,5000,0.7706429441563544
1,100,40,8.0,10.0,0.02,5000,0.7358693917966751
2,100,40,8.0,10.0,0.02,5000,0.7138169368269112
3,100,40,8.0,10.0,0.02,5000,0.7332913103181915
4,100,40,8.0,10.0,0.02,5000,0.7554203042567362
5,100,40,8.0,10.0,0.02,5000,0.7233692085705377
6,100,40,8.0,10.0,0.02,5000,0.7380683860577711
7,100,40,8.0,10.0,0.02,5000,0.7378379202940729
8,100,40,8.0,10.0,0.02,5000,0.7399145492282596
9,100,40,8.0,10.0,0.02,5000,0.728661377607545
10,100,40,8.0,10.0,0.02,5000,0.7308487821028183
